epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8478.43,0.7708,0.69804,1.1458,0.9101,0.85952,0.91342,0.7445,0.72155,0.55432,1.07123,0.000703961,0.000703961,0.000703961
43,8689.52,0.75248,0.67554,1.13652,0.89789,0.85918,0.90927,0.74471,0.71194,0.5704,1.06742,0.000686277,0.000686277,0.000686277
44,8881.06,0.76282,0.66611,1.13575,0.89939,0.86075,0.91257,0.74756,0.71744,0.54336,1.07208,0.000668593,0.000668593,0.000668593
45,9065.01,0.76411,0.67717,1.14322,0.89658,0.86546,0.90778,0.74344,0.71845,0.56193,1.06769,0.000650909,0.000650909,0.000650909
46,9247.08,0.77108,0.68346,1.13855,0.88206,0.88083,0.90909,0.74828,0.71233,0.54141,1.06561,0.000633226,0.000633226,0.000633226
47,9431.29,0.74246,0.65905,1.12952,0.89816,0.87051,0.90844,0.74295,0.72229,0.54095,1.07257,0.000615542,0.000615542,0.000615542
48,9612.96,0.73553,0.64221,1.12805,0.92128,0.87922,0.92297,0.75519,0.70626,0.51287,1.06367,0.000597858,0.000597858,0.000597858
49,9794.74,0.73711,0.62264,1.11435,0.90205,0.88505,0.92644,0.74971,0.71802,0.53376,1.06554,0.000580174,0.000580174,0.000580174
50,9976.67,0.72683,0.62711,1.11642,0.88889,0.87505,0.91602,0.75504,0.70051,0.52404,1.05905,0.00056249,0.00056249,0.00056249
51,10162.8,0.71803,0.62408,1.11298,0.87926,0.89752,0.92451,0.77043,0.67161,0.49102,1.03405,0.000544806,0.000544806,0.000544806
52,10345.2,0.70753,0.59635,1.10349,0.9147,0.89253,0.92738,0.768,0.69132,0.49803,1.04673,0.000527122,0.000527122,0.000527122
53,10526.9,0.71256,0.60133,1.10387,0.90432,0.90208,0.93212,0.76558,0.6885,0.49387,1.05197,0.000509438,0.000509438,0.000509438
54,10711.8,0.69905,0.60338,1.09936,0.91527,0.86834,0.92505,0.75793,0.69764,0.50865,1.05175,0.000491755,0.000491755,0.000491755
55,10895.1,0.69969,0.57256,1.1027,0.92571,0.87575,0.93356,0.77222,0.67771,0.49048,1.03782,0.000474071,0.000474071,0.000474071
56,11076.6,0.70591,0.58352,1.10021,0.90018,0.89805,0.92807,0.76319,0.68399,0.49894,1.04839,0.000456387,0.000456387,0.000456387
57,11261.3,0.68922,0.57394,1.09326,0.91542,0.89558,0.93143,0.76278,0.70167,0.49472,1.05464,0.000438703,0.000438703,0.000438703
58,11442.2,0.69999,0.59776,1.0976,0.89886,0.90037,0.92808,0.76778,0.66883,0.48376,1.03177,0.000421019,0.000421019,0.000421019
59,11623,0.69672,0.58527,1.09831,0.92233,0.89083,0.93375,0.7777,0.66307,0.47904,1.0257,0.000403335,0.000403335,0.000403335
60,11805.4,0.68385,0.55579,1.08943,0.87942,0.9039,0.92099,0.7687,0.68308,0.49807,1.04253,0.000385651,0.000385651,0.000385651
61,11987.3,0.69211,0.56556,1.09167,0.89383,0.88184,0.92583,0.77578,0.66852,0.48331,1.02716,0.000367967,0.000367967,0.000367967
62,12169.2,0.67908,0.55518,1.08771,0.90124,0.89798,0.93324,0.77843,0.67314,0.47836,1.03387,0.000350284,0.000350284,0.000350284
63,12350.8,0.68156,0.56267,1.09269,0.92216,0.89309,0.93323,0.77522,0.67447,0.46639,1.03614,0.0003326,0.0003326,0.0003326
64,12537.7,0.66462,0.54297,1.08209,0.92239,0.88991,0.93081,0.77745,0.65303,0.46442,1.0258,0.000314916,0.000314916,0.000314916
65,12728.5,0.65975,0.53623,1.07815,0.90195,0.90123,0.93282,0.77946,0.65919,0.46587,1.02091,0.000297232,0.000297232,0.000297232
66,12913.3,0.66294,0.53375,1.07911,0.91542,0.88962,0.93189,0.78436,0.65744,0.46228,1.02009,0.000279548,0.000279548,0.000279548
67,13096.4,0.6498,0.52115,1.06774,0.92905,0.89008,0.93656,0.78686,0.65499,0.45286,1.02146,0.000261864,0.000261864,0.000261864
68,13277.6,0.64572,0.51107,1.06772,0.91645,0.90543,0.94139,0.78712,0.6544,0.44134,1.02136,0.00024418,0.00024418,0.00024418
