epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.52,1.03921,1.6688,1.32545,0.35942,0.52305,0.39248,0.17663,1.79413,2.11005,2.13913,0.000474724,0.000474724,0.000474724
2,284.178,1.33846,1.65514,1.52641,0.48478,0.4894,0.47544,0.245,1.74822,2.20712,1.93968,0.000939288,0.000939288,0.000939288
3,437.014,1.41303,1.719,1.58948,0.44822,0.57121,0.53202,0.30899,1.44752,2.07109,1.71924,0.00139206,0.00139206,0.00139206
